NCT Number,Study URL,Study Status,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Start Date,Completion Date,First Posted,Last Update Posted,Duration_Days,Binary_Values,Participants
NCT03301896,https://clinicaltrials.gov/study/NCT03301896,0.0,0,"ADULT, OLDER_ADULT",0,-0.1586454327458322,0,1,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2018-01-31,2022-06-30,2017-10-04,2024-06-20,1.4540085417742574,0,45.0
NCT05517564,https://clinicaltrials.gov/study/NCT05517564,1.0,0,ADULT,0,-0.11932067308857067,0,1,"Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2022-08-01,2023-06-30,2022-08-26,2022-10-25,-0.6435890038502738,1,96.0
NCT02662712,https://clinicaltrials.gov/study/NCT02662712,1.0,0,"ADULT, OLDER_ADULT",0,-0.1262603365574992,0,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: OTHER",2015-12-17,2018-06-29,2016-01-25,2019-07-05,0.32806807518706765,1,87.0
NCT06367712,https://clinicaltrials.gov/study/NCT06367712,1.0,1,ADULT,0,-0.09156201921285664,0,1,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2022-11-10,2023-11-10,2024-04-16,2024-04-16,-0.5910669995779851,1,132.0
NCT02909452,https://clinicaltrials.gov/study/NCT02909452,1.0,0,"ADULT, OLDER_ADULT",0,-0.17021153852737972,0,1,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2016-09-20,2021-02-09,2016-09-21,2022-01-25,1.4408780407061852,0,30.0
NCT04554966,https://clinicaltrials.gov/study/NCT04554966,1.0,0,"ADULT, OLDER_ADULT",0,-0.15170576927690368,0,1,"Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2021-04-16,2023-08-14,2020-09-18,2024-03-04,0.20496962767389096,1,54.0
NCT03898583,https://clinicaltrials.gov/study/NCT03898583,1.0,0,"ADULT, OLDER_ADULT",0,-0.18177764430892723,0,1,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (INVESTIGATOR)|Primary Purpose: TREATMENT,2019-04-15,2019-10-29,2019-04-02,2020-09-11,-0.866807522007501,0,15.0
NCT04527250,https://clinicaltrials.gov/study/NCT04527250,1.0,0,ADULT,0,-0.1470793269642847,0,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: TREATMENT",2020-09-16,2020-12-30,2020-08-26,2021-08-20,-1.017808284290331,1,60.0
NCT04808362,https://clinicaltrials.gov/study/NCT04808362,0.0,0,"ADULT, OLDER_ADULT",1,-0.17638012827753838,0,1,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-04-28,2023-01-11,2021-03-22,2024-04-25,-0.16760834013265724,0,22.0
NCT05727800,https://clinicaltrials.gov/study/NCT05727800,1.0,0,ADULT,0,-0.10544134615071366,0,1,"Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2023-02-08,2024-02-13,2023-02-14,2024-03-15,-0.58286043641044,1,114.0
NCT03216278,https://clinicaltrials.gov/study/NCT03216278,1.0,0,ADULT,0,0.025641186040158127,0,1,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: TREATMENT,2017-09-26,2018-05-22,2017-07-13,2018-05-30,-0.7995137040336311,1,284.0
NCT04247256,https://clinicaltrials.gov/study/NCT04247256,1.0,0,"ADULT, OLDER_ADULT",1,-0.16635616993353053,0,1,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2020-05-14,2022-06-30,2020-01-30,2022-03-02,0.08515380542773228,0,35.0
NCT06107803,https://clinicaltrials.gov/study/NCT06107803,1.0,0,ADULT,0,-0.18023549687138757,0,1,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2023-10-13,2024-01-12,2023-10-30,2024-02-12,-1.0407866611594574,0,17.0
NCT04502901,https://clinicaltrials.gov/study/NCT04502901,1.0,2,ADULT,0,-0.16250080133968137,0,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2020-01-14,2021-01-15,2020-08-06,2021-08-11,-0.5877843743109671,0,40.0
NCT04784312,https://clinicaltrials.gov/study/NCT04784312,1.0,0,ADULT,0,-0.1609586539021417,0,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2021-04-16,2021-08-17,2021-03-05,2022-06-15,-0.9882646568871687,0,42.0
NCT03112590,https://clinicaltrials.gov/study/NCT03112590,1.0,0,"ADULT, OLDER_ADULT",1,-0.1540189904332132,3,1,Allocation: NA|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2017-06-23,2023-02-20,2017-04-13,2023-04-19,2.2040884152878806,1,51.0
NCT03310944,https://clinicaltrials.gov/study/NCT03310944,1.0,0,ADULT,0,-0.18409086546523673,0,1,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH,2017-10-18,2017-12-08,2017-10-16,2022-04-13,-1.1064391664998183,0,12.0
NCT03095807,https://clinicaltrials.gov/study/NCT03095807,1.0,2,ADULT,0,-0.1671272436523004,0,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2017-03-20,2017-08-31,2017-03-30,2018-10-05,-0.9209708389132988,0,34.0
NCT04134884,https://clinicaltrials.gov/study/NCT04134884,1.0,0,"ADULT, OLDER_ADULT",0,-0.1671272436523004,3,1,Allocation: NA|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2020-04-01,2024-03-14,2019-10-22,2024-03-22,1.1782680193447415,0,34.0
NCT04566003,https://clinicaltrials.gov/study/NCT04566003,1.0,0,"ADULT, OLDER_ADULT",0,-0.16250080133968137,0,1,Allocation: NON_RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: DIAGNOSTIC,2020-10-26,2023-06-27,2020-09-28,2023-07-12,0.4084923942290098,0,40.0
NCT03624322,https://clinicaltrials.gov/study/NCT03624322,1.0,0,ADULT,0,-0.16404294877722103,0,1,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2018-08-05,2018-10-03,2018-08-10,2018-10-04,-1.093308665431746,0,38.0
NCT04798001,https://clinicaltrials.gov/study/NCT04798001,1.0,0,"ADULT, OLDER_ADULT",0,-0.09310416665039631,0,1,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: PREVENTION,2021-04-12,2022-10-31,2021-03-15,2022-08-02,-0.2595218476091625,1,130.0
NCT03393013,https://clinicaltrials.gov/study/NCT03393013,1.0,0,"ADULT, OLDER_ADULT",1,-0.1401396634953562,0,1,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2018-02-20,2022-08-04,2018-01-08,2024-03-08,1.4786282312768928,1,69.0
NCT03648372,https://clinicaltrials.gov/study/NCT03648372,0.0,0,"ADULT, OLDER_ADULT",1,-0.10929671474456283,0,1,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2018-10-01,2023-12-14,2018-08-27,2024-11-19,1.9283478928583648,1,109.0
NCT03234400,https://clinicaltrials.gov/study/NCT03234400,1.0,1,ADULT,0,-0.15556113787075287,0,1,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: PREVENTION,2017-12-04,2019-01-23,2017-07-31,2019-01-29,-0.509001367902534,0,49.0
NCT04608513,https://clinicaltrials.gov/study/NCT04608513,1.0,0,ADULT,0,-0.15787435902706237,0,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",2020-11-16,2021-09-20,2020-10-29,2021-10-15,-0.6846218196879995,0,46.0
NCT05586568,https://clinicaltrials.gov/study/NCT05586568,1.0,0,"ADULT, OLDER_ADULT",0,-0.13782644233904667,0,1,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2022-11-15,2023-08-02,2022-10-19,2022-10-19,-0.7634048260964326,1,72.0
NCT03115099,https://clinicaltrials.gov/study/NCT03115099,1.0,0,"ADULT, OLDER_ADULT",0,-0.131657852588888,0,1,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: BASIC_SCIENCE",2017-05-31,2018-04-05,2017-04-14,2018-08-23,-0.6829805070544904,1,80.0
NCT05274087,https://clinicaltrials.gov/study/NCT05274087,1.0,0,ADULT,0,-0.17021153852737972,0,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: BASIC_SCIENCE",2020-09-15,2021-04-07,2022-03-10,2022-03-10,-0.8553183335729379,0,30.0
NCT05716295,https://clinicaltrials.gov/study/NCT05716295,0.0,0,"ADULT, OLDER_ADULT",1,-0.17329583340245905,0,1,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2023-02-08,2024-04-30,2023-02-08,2024-05-08,-0.45647936363024527,0,26.0
NCT03822364,https://clinicaltrials.gov/study/NCT03822364,1.0,0,ADULT,0,-0.15016362183936402,0,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2018-11-26,2019-03-26,2019-01-30,2019-08-30,-0.9931885947876957,1,56.0
NCT05607446,https://clinicaltrials.gov/study/NCT05607446,0.0,0,"ADULT, OLDER_ADULT",0,-0.18409086546523673,0,1,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2022-09-14,2023-12-14,2022-11-07,2024-11-26,-0.44170754992866407,0,12.0
NCT04123626,https://clinicaltrials.gov/study/NCT04123626,1.0,0,"ADULT, OLDER_ADULT",1,-0.18486193918400656,0,1,"Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2019-10-07,2022-06-07,2019-10-11,2022-05-06,0.4084923942290098,0,11.0
NCT03069963,https://clinicaltrials.gov/study/NCT03069963,1.0,0,ADULT,0,-0.1748379808399987,0,1,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2017-02-24,2017-04-23,2017-03-03,2022-05-12,-1.0949499780652552,0,24.0
NCT04338724,https://clinicaltrials.gov/study/NCT04338724,1.0,0,"ADULT, OLDER_ADULT",0,-0.18871730777785573,0,1,Allocation: NA|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2019-12-27,2020-09-21,2020-04-08,2021-02-21,-0.7486330123948514,0,6.0
NCT02051751,https://clinicaltrials.gov/study/NCT02051751,1.0,0,"ADULT, OLDER_ADULT",0,-0.17869334943384788,0,1,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2014-03-05,2016-08-19,2014-01-31,2020-12-08,0.28375263408232404,0,19.0
NCT02576119,https://clinicaltrials.gov/study/NCT02576119,0.0,0,ADULT,0,0.04954447132202298,0,1,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: OTHER",2015-10-19,2016-10-14,2015-10-15,2017-08-09,-0.5976322501120213,1,315.0
NCT06655818,https://clinicaltrials.gov/study/NCT06655818,0.0,0,"ADULT, OLDER_ADULT",1,-0.1902594552153954,0,1,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-03-09,2024-02-14,2024-10-23,2024-10-23,0.569341032312894,0,4.0
NCT01926665,https://clinicaltrials.gov/study/NCT01926665,1.0,0,"ADULT, OLDER_ADULT",0,-0.19180160265293505,3,1,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2014-06-17,2017-09-17,2013-08-21,2017-09-19,0.7597332977999407,0,2.0
NCT05351086,https://clinicaltrials.gov/study/NCT05351086,1.0,0,ADULT,0,-0.17329583340245905,0,1,"Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2022-06-09,2022-09-22,2022-04-28,2022-12-23,-1.017808284290331,0,26.0
NCT03934502,https://clinicaltrials.gov/study/NCT03934502,1.0,0,ADULT,0,-0.17792227571507804,0,1,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: OTHER,2019-04-15,2019-06-12,2019-05-02,2020-07-07,-1.0949499780652552,0,20.0
NCT04594681,https://clinicaltrials.gov/study/NCT04594681,0.0,0,"ADULT, OLDER_ADULT",0,-0.10389919871317399,0,1,"Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2020-09-16,2022-08-26,2020-10-20,2023-05-18,-0.026455453650881273,1,116.0
NCT02922816,https://clinicaltrials.gov/study/NCT02922816,0.0,0,"ADULT, OLDER_ADULT",0,-0.18486193918400656,3,1,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2016-12-01,2021-12-03,2016-10-04,2023-11-15,1.8101733832457152,0,11.0
NCT04278391,https://clinicaltrials.gov/study/NCT04278391,1.0,2,ADULT,0,-0.16250080133968137,0,1,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2019-07-02,2020-02-19,2020-02-20,2020-02-20,-0.8093615798346853,0,40.0
NCT04845841,https://clinicaltrials.gov/study/NCT04845841,1.0,1,"ADULT, OLDER_ADULT",0,-0.1810065705901574,0,1,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: OTHER,2021-04-09,2021-06-01,2021-04-15,2023-08-09,-1.1031565412328004,0,16.0
NCT04155645,https://clinicaltrials.gov/study/NCT04155645,1.0,0,"ADULT, OLDER_ADULT",0,-0.1671272436523004,0,1,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2019-11-21,2021-06-07,2019-11-07,2021-06-30,-0.2644457855096896,0,34.0
NCT04120636,https://clinicaltrials.gov/study/NCT04120636,1.0,0,"ADULT, OLDER_ADULT",0,-0.19103052893416522,0,1,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-03-05,2024-06-30,2019-10-09,2023-11-24,0.8007661136376663,0,3.0
NCT02913443,https://clinicaltrials.gov/study/NCT02913443,1.0,0,"ADULT, OLDER_ADULT",0,-0.1794644231526177,0,1,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2016-12-20,2017-10-24,2016-09-23,2018-10-19,-0.6846218196879995,0,18.0
NCT04662151,https://clinicaltrials.gov/study/NCT04662151,1.0,0,CHILD,0,-0.16481402249599086,0,1,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: PREVENTION,2021-09-01,2024-05-29,2020-12-10,2024-07-03,0.4528078353337534,0,37.0
NCT04194892,https://clinicaltrials.gov/study/NCT04194892,1.0,0,ADULT,0,-0.18409086546523673,0,1,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2018-01-19,2018-03-14,2019-12-11,2019-12-11,-1.1015152285992913,0,12.0
NCT02491463,https://clinicaltrials.gov/study/NCT02491463,1.0,0,ADULT,0,-0.13705536862027684,0,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2015-07-23,2017-01-26,2015-07-08,2018-08-20,-0.2825002244782889,1,73.0
NCT02735239,https://clinicaltrials.gov/study/NCT02735239,1.0,0,"ADULT, OLDER_ADULT",1,-0.13705536862027684,3,1,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2016-06-24,2022-06-16,2016-04-12,2024-03-22,2.392839368141418,1,73.0
NCT05547399,https://clinicaltrials.gov/study/NCT05547399,1.0,0,"ADULT, OLDER_ADULT",0,-0.16018758018337187,0,1,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2022-06-07,2022-12-07,2022-09-21,2024-10-26,-0.8897858988766273,0,43.0
NCT05794243,https://clinicaltrials.gov/study/NCT05794243,1.0,0,"ADULT, OLDER_ADULT",0,-0.1609586539021417,0,1,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2023-03-23,2023-06-20,2023-04-03,2023-08-14,-1.0440692864264756,0,42.0
NCT03274219,https://clinicaltrials.gov/study/NCT03274219,1.0,0,"ADULT, OLDER_ADULT",0,-0.13782644233904667,0,1,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2017-08-16,2022-12-02,2017-09-06,2023-11-07,1.9841525223976717,1,72.0
NCT03251378,https://clinicaltrials.gov/study/NCT03251378,1.0,0,"ADULT, OLDER_ADULT",0,-0.09387524036916614,0,1,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2017-12-11,2023-03-30,2017-08-16,2024-09-25,1.9857938350311806,1,129.0
NCT04673695,https://clinicaltrials.gov/study/NCT04673695,1.0,0,"ADULT, OLDER_ADULT",0,-0.15479006415198304,0,1,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: TREATMENT,2020-11-13,2021-01-02,2020-12-17,2020-12-17,-1.1080804791333274,1,50.0
NCT04152915,https://clinicaltrials.gov/study/NCT04152915,1.0,0,"ADULT, OLDER_ADULT",0,-0.14091073721412603,0,1,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2019-11-25,2020-05-25,2019-11-05,2021-11-10,-0.8914272115101364,1,68.0
NCT03536325,https://clinicaltrials.gov/study/NCT03536325,1.0,2,ADULT,0,-0.1748379808399987,0,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: OTHER",2018-05-31,2018-10-25,2018-05-24,2019-01-23,-0.9488731536829521,0,24.0
NCT04671017,https://clinicaltrials.gov/study/NCT04671017,1.0,0,ADULT,1,-0.07536947111869013,0,1,"Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2020-12-16,2022-04-06,2020-12-17,2022-04-22,-0.4088812972584836,1,153.0
NCT04959266,https://clinicaltrials.gov/study/NCT04959266,0.0,0,"ADULT, OLDER_ADULT",0,-0.18948838149662556,0,1,Allocation: NON_RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: OTHER,2021-06-28,2022-06-01,2021-07-13,2022-09-16,-0.6353824406827288,0,5.0
NCT05817240,https://clinicaltrials.gov/study/NCT05817240,1.0,0,"ADULT, OLDER_ADULT",0,-0.1771512019963082,0,1,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,2023-05-03,2023-06-21,2023-04-18,2023-12-15,-1.1097217917668365,0,21.0
NCT03058237,https://clinicaltrials.gov/study/NCT03058237,1.0,0,ADULT,0,-0.16250080133968137,0,1,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2017-01-24,2017-07-05,2017-02-20,2018-01-17,-0.9242534641803168,0,40.0
NCT03038971,https://clinicaltrials.gov/study/NCT03038971,0.0,0,"CHILD, ADULT, OLDER_ADULT",0,-0.19180160265293505,0,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2017-03-30,2017-04-29,2017-02-01,2018-02-26,-1.1409067318035078,0,2.0
NCT06003465,https://clinicaltrials.gov/study/NCT06003465,1.0,0,"ADULT, OLDER_ADULT",0,-0.1493925481205942,0,1,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2023-08-29,2024-02-08,2023-08-22,2024-03-29,-0.9226121515468078,1,57.0
NCT04148118,https://clinicaltrials.gov/study/NCT04148118,1.0,0,ADULT,0,-0.12857355771380868,0,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2020-01-08,2021-09-02,2019-11-01,2022-05-18,-0.2004345928028377,1,84.0
NCT03244462,https://clinicaltrials.gov/study/NCT03244462,1.0,2,ADULT,0,-0.1856330129027764,0,1,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: OTHER,2017-08-18,2018-07-20,2017-08-09,2019-07-15,-0.6386650659497468,0,10.0
NCT02754219,https://clinicaltrials.gov/study/NCT02754219,1.0,0,ADULT,0,-0.1748379808399987,0,1,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2016-09-22,2018-01-19,2016-04-28,2018-02-26,-0.3957507961904114,0,24.0
NCT04232514,https://clinicaltrials.gov/study/NCT04232514,1.0,2,ADULT,0,-0.17175368596491938,0,1,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-07-15,2020-08-22,2020-01-18,2020-11-05,-1.1277762307354358,0,28.0
